,user,user_name,r_gender,age
145,145,18871,2,4
146,146,18895,2,3
147,147,19104,2,2
148,148,19125,1,2
149,149,19143,1,2
150,150,19185,2,2
151,151,19275,2,3
152,152,19314,2,3
153,153,19317,2,4
154,154,19551,2,1
155,155,19552,1,1
156,156,19599,2,3
157,157,19627,2,3
158,158,19667,2,1
159,159,19761,2,1
160,160,19768,1,3
161,161,19828,1,2
162,162,19910,2,4
163,163,20320,2,2
164,164,20346,1,4
165,165,20412,2,4
166,166,20437,2,3
167,167,20486,2,3
168,168,20516,2,2
169,169,20531,2,3
170,170,20601,2,3
171,171,20734,2,4
172,172,20776,2,2
173,173,20832,2,2
174,174,20834,2,2
175,175,21211,2,3
176,176,21221,1,1
177,177,21446,2,4
178,178,21485,2,3
179,179,21569,1,1
180,180,21600,2,4
181,181,22219,2,4
182,182,22228,2,1
183,183,22240,2,4
184,184,22245,2,4
185,185,22266,1,4
186,186,22347,2,3
187,187,22384,2,4
188,188,22397,2,3
189,189,22399,2,3
190,190,22401,2,2
191,191,22416,1,4
192,192,22448,1,1
193,193,22458,2,2
194,194,22500,2,3
195,195,22536,2,3
196,196,22868,2,3
197,197,22909,2,4
198,198,22946,2,2
199,199,22978,2,1
200,200,23084,2,4
201,201,23113,1,3
202,202,23306,2,3
203,203,23383,2,2
204,204,23418,2,3
205,205,23430,2,4
206,206,23629,2,1
207,207,23831,1,4
208,208,24189,2,3
209,209,24522,2,3
210,210,24587,2,1
211,211,24729,2,4
212,212,24749,2,2
213,213,24782,2,2
214,214,24815,2,4
215,215,24826,2,2
216,216,25040,2,3
217,217,25045,1,4
218,218,25407,2,3
219,219,25490,2,1
220,220,25491,1,2
221,221,25552,2,4
222,222,25731,1,3
223,223,25824,2,3
224,224,25979,2,1
225,225,26353,2,3
226,226,26548,2,2
227,227,26630,2,4
228,228,26764,2,2
229,229,26909,1,1
230,230,26967,2,1
231,231,26985,2,2
232,232,27032,2,3
233,233,27046,2,4
234,234,27048,2,1
235,235,27052,2,2
236,236,27163,2,3
237,237,27480,2,3
238,238,27506,2,3
239,239,27539,2,3
240,240,27642,2,1
241,241,27733,2,1
242,242,27779,1,4
243,243,27921,2,2
244,244,27976,2,3
245,245,28371,1,1
246,246,28528,2,1
247,247,29920,2,3
248,248,30953,2,1
249,249,31861,2,1
250,250,34336,2,2
251,251,35147,2,3
252,252,37454,2,3
253,253,37493,1,2
254,254,37912,2,2
255,255,40095,2,2
256,256,41688,1,4
257,257,42983,2,2
258,258,43025,2,3
259,259,43137,1,2
260,260,44473,2,1
261,261,45491,2,2
262,262,46144,2,2
263,263,48725,2,4
264,264,48743,2,1
265,265,48785,2,2
266,266,48924,2,2
267,267,48962,2,1
268,268,49037,2,1
269,269,49958,2,2
270,270,49974,2,3
271,271,51453,2,3
272,272,51834,1,3
273,273,52189,2,4
274,274,52768,2,3
275,275,52872,2,3
276,276,52996,2,2
277,277,52998,2,4
278,278,53008,2,3
279,279,53010,2,3
280,280,53034,2,2
